view_no,theta,phi
0,0.6739409902188717,4.090727356220407
1,0.012406356332364941,0.8302846698177084
2,1.2848839982668578,1.3935984389073701
3,2.046501651439912,1.6440312974433475
4,3.0392557010756,1.3315578793335603
5,2.7834880334596876,6.068644944789256
6,2.6889374760346914,1.9036815465841048
7,0.304374965858079,3.2439512166209874
8,2.523982320114528,1.7042243822009515
9,2.354797271506138,5.062729681177071
10,2.284542452420968,3.6646481717616797
11,0.3134268474602431,2.6305533089388042
12,1.397112738876555,6.066703983319736
13,1.7105771584677654,3.881721132153711
14,1.9679406165102564,3.582762862181103
15,2.4073394034155173,5.706018807006364
16,1.6069943682841266,2.0307386466664146
17,0.07948791572101882,1.2590517719634418
18,3.068875337300217,3.3636118222148172
19,1.5425663947143637,0.858273886778277
20,2.3344128029731235,1.2213136557455149
21,2.5163042709343935,1.4725915369221316
22,0.45134930683273305,0.08615861174879341
23,2.1428593347143323,3.2819370604305704
24,2.5644755294053043,5.868060027231239
25,2.0665631767593466,2.845778913203407
26,0.03248659328787317,5.0974926625663395
27,2.7164196447240214,0.028278206645952368
28,1.937874802111378,2.3069832760719664
29,2.634818158851979,5.486195394482074
30,2.0166520698335892,2.983278034774774
31,1.8177794748311962,2.1078067503769717
32,0.17631787483975261,5.441719692962211
33,0.7561506865533899,3.0772149857801074
34,2.3811387933695864,3.9924769530073263
35,1.5878235817688717,5.944979028969721
36,2.869223896914837,1.2867432371688163
37,2.9620837896037426,2.455266786416203
38,0.9510285000504038,2.4212398398932935
39,0.9233092413490532,3.990518899039625
40,2.5910743984223634,0.7914985220339141
41,0.01283546413723482,4.718718386765176
42,1.8036244753368416,3.984085036532329
43,2.8021414206482573,2.8789233556906964
44,1.7026648276342098,0.6262817923667187
45,2.7161126978124464,3.1482626078029585
46,1.5818120790383048,6.059248160953449
47,2.446306977040642,5.8709860926701
48,2.2565268789528656,4.689742568080712
49,0.06766935150190707,0.16527609677991295
50,0.29691764282684047,3.311495036489261
51,2.466891380086097,3.1180835142272216
52,1.4880544254454868,1.9358447152793554
53,1.5467582883046214,1.7054692136403853
54,2.2904219503129046,5.215977861379791
55,2.9866468598274,5.46788947415014
56,0.8457137590284789,1.9617669540197007
57,1.3268958451923227,5.107193952025103
58,1.8967181151511563,1.277230561374062
59,1.052726592022845,4.233965701322741
60,1.4982334861808249,2.0358329673838753
61,2.9305680889616834,2.96827196150617
62,0.9400175628604456,5.61591767774116
63,1.7920217850868754,4.996012464752295
64,2.8540240400742034,0.9447025929843632
65,1.675792044180461,5.233110295795042
66,2.454880625765592,5.7528282170030955
67,1.4098005783554566,0.9089267185725545
68,1.9424907677107357,3.374608235402284
69,1.5457414934361695,3.6336831870599933
70,2.156408527637561,1.527281431780557
71,1.7113906371548353,1.8813365211461226
72,2.6430215972159057,3.2506881675614476
73,2.816648674230018,0.5765863166816321
74,0.9944011683002562,2.534342478708636
75,2.670879462839761,2.6875309227756685
76,1.9147595703388083,0.5388802907947455
77,2.1399135633886264,2.892011393675932
78,1.2182899433629737,3.3725669828183573
79,1.125716536106929,0.05235365710527428
80,2.3643143002641334,0.7066426975755269
81,1.4244393160284528,2.4947977961992573
82,2.204761674210692,2.023004798525466
83,2.566272187328924,1.4109374329185258
84,2.5126455485303034,4.104040437691515
85,0.3725694389960805,4.8715548149746475
86,0.5977697591386211,3.0653166164357155
87,1.4811462234007944,2.979247972512176
88,1.475435986042703,1.054905108425992
89,2.5948050387112733,3.5367803498380908
90,2.721388095142588,5.664589183092974
91,2.431426019498344,5.585009172631899
92,3.0138008435623207,5.372594655875672
93,1.8195225442831053,0.6400290621135856
94,2.7442301167150287,5.633725032493398
95,3.0700449707267947,2.460374780366592
96,0.4678693546166783,0.9885096776172629
97,3.0527345103492,4.883350397614336
98,0.9919223297435287,2.134161597020864
99,1.928200533762926,0.7806536421502815
100,1.5745343063222113,3.8109819407454464
101,1.0922490889470264,1.0521072463279066
102,2.7624566916716997,2.7301900523531155
103,1.6661607607404962,2.896863706709649
104,1.5381345059761644,3.7941695639789406
105,2.0044560309888277,6.021853407252587
106,1.524240607509443,3.8707908049953375
107,1.746896694237357,1.9899415669344716
